Module	Entry Function	Relevant Properties
drivers-dma-ioat-ioatdma-ko_main0.c	main	2
drivers-dma-mic_x100_dma-ko_main0.c	main	2
drivers-dma-nbpfaxi-ko_main0.c	main	2
drivers-dma-pch_dma-ko_main0.c	main	1
drivers-dma-sh-rcar-audmapp-ko_main0.c	main	0
drivers-dma-sh-rcar-dmac-ko_main0.c	main	2
drivers-dma-sh-rcar-hpbdma-ko_main0.c	main	1
drivers-dma-sh-shdma-ko_main0.c	main	2
drivers-dma-sh-sudmac-ko_main0.c	main	0
drivers-dma-sun6i-dma-ko_main0.c	main	2
drivers-dma-timb_dma-ko_main0.c	main	1
drivers-edac-amd64_edac_mod-ko_main0.c	main	1
drivers-edac-e752x_edac-ko_main0.c	main	0
drivers-edac-edac_mce_amd-ko_main0.c	main	0
drivers-edac-i3000_edac-ko_main0.c	main	0
drivers-edac-i3200_edac-ko_main0.c	main	0
drivers-edac-i5000_edac-ko_main0.c	main	0
drivers-edac-i5100_edac-ko_main0.c	main	0
drivers-edac-i5400_edac-ko_main0.c	main	0
drivers-edac-i7300_edac-ko_main0.c	main	0
drivers-edac-i7core_edac-ko_main0.c	main	1
drivers-edac-i82975x_edac-ko_main0.c	main	0
drivers-edac-ie31200_edac-ko_main0.c	main	0
drivers-edac-mce_amd_inj-ko_main0.c	main	0
drivers-edac-sb_edac-ko_main0.c	main	1
drivers-edac-x38_edac-ko_main0.c	main	0
drivers-extcon-extcon-adc-jack-ko_main0.c	main	1
drivers-extcon-extcon-arizona-ko_main0.c	main	2
drivers-extcon-extcon-gpio-ko_main0.c	main	1
drivers-extcon-extcon-rt8973a-ko_main0.c	main	1
drivers-extcon-extcon-sm5502-ko_main0.c	main	1
drivers-firewire-firewire-core-ko_main0.c	main	3
drivers-firewire-firewire-net-ko_main0.c	main	3
drivers-firewire-firewire-ohci-ko_main0.c	main	3
drivers-firewire-firewire-sbp2-ko_main0.c	main	1
drivers-firewire-nosy-ko_main0.c	main	3
drivers-firmware-dcdbas-ko_main0.c	main	1
drivers-firmware-dell_rbu-ko_main0.c	main	1
drivers-firmware-dmi-sysfs-ko_main0.c	main	1
drivers-firmware-edd-ko_main0.c	main	0
drivers-firmware-efi-efivars-ko_main0.c	main	0
drivers-firmware-google-gsmi-ko_main0.c	main	1
drivers-firmware-google-memconsole-ko_main0.c	main	0
drivers-firmware-iscsi_ibft-ko_main0.c	main	0
drivers-fmc-fmc-chardev-ko_main0.c	main	2
drivers-fmc-fmc-fakedev-ko_main0.c	main	0
drivers-fmc-fmc-ko_main0.c	main	0
drivers-fmc-fmc-trivial-ko_main0.c	main	1
drivers-fmc-fmc-write-eeprom-ko_main0.c	main	0
drivers-gpio-gpio-adp5588-ko_main0.c	main	1
drivers-gpio-gpio-amd8111-ko_main0.c	main	1
drivers-gpio-gpio-arizona-ko_main0.c	main	0
drivers-gpio-gpio-clps711x-ko_main0.c	main	0
drivers-gpio-gpio-cs5535-ko_main0.c	main	1
drivers-gpio-gpio-da9052-ko_main0.c	main	0
drivers-gpio-gpio-dln2-ko_main0.c	main	1
drivers-gpio-gpio-f7188x-ko_main0.c	main	0
drivers-gpio-gpio-generic-ko_main0.c	main	0
drivers-gpio-gpio-ich-ko_main0.c	main	1
drivers-gpio-gpio-it8761e-ko_main0.c	main	1
drivers-gpio-gpio-janz-ttl-ko_main0.c	main	0
drivers-gpio-gpio-kempld-ko_main0.c	main	0
drivers-gpio-gpio-lp3943-ko_main0.c	main	0
drivers-gpio-gpio-lynxpoint-ko_main0.c	main	1
drivers-gpio-gpio-max7300-ko_main0.c	main	0
